date, fng_value,fng_classification
29-07-2019,19,Extreme Fear
28-07-2019,16,Extreme Fear
27-07-2019,47,Neutral
26-07-2019,24,Extreme Fear
25-07-2019,42,Fear
24-07-2019,20,Extreme Fear
23-07-2019,40,Fear
22-07-2019,42,Fear
21-07-2019,42,Fear
20-07-2019,34,Fear
19-07-2019,42,Fear
18-07-2019,40,Fear
17-07-2019,19,Extreme Fear
16-07-2019,34,Fear
15-07-2019,16,Extreme Fear
14-07-2019,61,Greed
13-07-2019,65,Greed
12/7/2019,33,Fear
11/7/2019,62,Greed
10/7/2019,83,Extreme Greed
9/7/2019,84,Extreme Greed
8/7/2019,74,Greed
7/7/2019,67,Greed
6/7/2019,72,Greed
5/7/2019,67,Greed
4/7/2019,76,Extreme Greed
3/7/2019,79,Extreme Greed
2/7/2019,63,Greed
1/7/2019,65,Greed
30-06-2019,78,Extreme Greed
29-06-2019,74,Greed
28-06-2019,62,Greed
27-06-2019,92,Extreme Greed
26-06-2019,95,Extreme Greed
25-06-2019,87,Extreme Greed
24-06-2019,80,Extreme Greed
23-06-2019,84,Extreme Greed
22-06-2019,83,Extreme Greed
21-06-2019,84,Extreme Greed
20-06-2019,81,Extreme Greed
19-06-2019,82,Extreme Greed
18-06-2019,83,Extreme Greed
17-06-2019,84,Extreme Greed
16-06-2019,80,Extreme Greed
15-06-2019,75,Greed
14-06-2019,67,Greed
13-06-2019,63,Greed
12/6/2019,60,Greed
11/6/2019,61,Greed
10/6/2019,46,Fear
9/6/2019,62,Greed
8/6/2019,62,Greed
7/6/2019,27,Fear
6/6/2019,34,Fear
5/6/2019,27,Fear
4/6/2019,42,Fear
3/6/2019,66,Greed
2/6/2019,63,Greed
1/6/2019,62,Greed
31-05-2019,61,Greed
30-05-2019,73,Greed
29-05-2019,71,Greed
28-05-2019,71,Greed
27-05-2019,70,Greed
26-05-2019,67,Greed
25-05-2019,69,Greed
24-05-2019,64,Greed
23-05-2019,65,Greed
22-05-2019,69,Greed
21-05-2019,68,Greed
20-05-2019,73,Greed
19-05-2019,70,Greed
18-05-2019,67,Greed
17-05-2019,65,Greed
16-05-2019,75,Greed
15-05-2019,77,Extreme Greed
14-05-2019,78,Extreme Greed
13-05-2019,78,Extreme Greed
12/5/2019,75,Greed
11/5/2019,76,Extreme Greed
10/5/2019,71,Greed
9/5/2019,69,Greed
8/5/2019,63,Greed
7/5/2019,69,Greed
6/5/2019,57,Greed
5/5/2019,67,Greed
4/5/2019,66,Greed
3/5/2019,63,Greed
2/5/2019,50,Neutral
1/5/2019,51,Neutral
30-04-2019,42,Fear
29-04-2019,42,Fear
28-04-2019,40,Fear
27-04-2019,42,Fear
26-04-2019,41,Fear
25-04-2019,58,Greed
24-04-2019,65,Greed
23-04-2019,68,Greed
22-04-2019,61,Greed
21-04-2019,62,Greed
20-04-2019,62,Greed
19-04-2019,61,Greed
18-04-2019,64,Greed
17-04-2019,61,Greed
16-04-2019,50,Neutral
15-04-2019,60,Greed
14-04-2019,51,Neutral
13-04-2019,62,Greed
12/4/2019,42,Fear
11/4/2019,65,Greed
10/4/2019,62,Greed
9/4/2019,64,Greed
8/4/2019,65,Greed
7/4/2019,69,Greed
6/4/2019,65,Greed
5/4/2019,59,Greed
4/4/2019,61,Greed
3/4/2019,71,Greed
2/4/2019,60,Greed
1/4/2019,62,Greed
31-03-2019,56,Greed
30-03-2019,57,Greed
29-03-2019,50,Neutral
28-03-2019,49,Neutral
27-03-2019,44,Fear
26-03-2019,43,Fear
25-03-2019,46,Fear
24-03-2019,44,Fear
23-03-2019,50,Neutral
22-03-2019,56,Greed
21-03-2019,62,Greed
20-03-2019,55,Greed
19-03-2019,56,Greed
18-03-2019,56,Greed
17-03-2019,58,Greed
16-03-2019,54,Neutral
15-03-2019,55,Greed
14-03-2019,55,Greed
13-03-2019,54,Neutral
12/3/2019,56,Greed
11/3/2019,56,Greed
10/3/2019,55,Greed
9/3/2019,55,Greed
8/3/2019,54,Neutral
7/3/2019,56,Greed
6/3/2019,42,Fear
5/3/2019,35,Fear
4/3/2019,36,Fear
3/3/2019,44,Fear
2/3/2019,41,Fear
1/3/2019,42,Fear
28-02-2019,39,Fear
27-02-2019,39,Fear
26-02-2019,40,Fear
25-02-2019,47,Neutral
24-02-2019,69,Greed
23-02-2019,63,Greed
22-02-2019,61,Greed
21-02-2019,59,Greed
20-02-2019,59,Greed
19-02-2019,65,Greed
18-02-2019,63,Greed
17-02-2019,41,Fear
17-02-2019,38,Fear
16-02-2019,43,Fear
15-02-2019,43,Fear
14-02-2019,48,Neutral
13-02-2019,48,Neutral
12/2/2019,38,Fear
11/2/2019,46,Fear
10/2/2019,40,Fear
9/2/2019,42,Fear
8/2/2019,37,Fear
7/2/2019,18,Extreme Fear
6/2/2019,14,Extreme Fear
5/2/2019,21,Extreme Fear
4/2/2019,27,Fear
3/2/2019,19,Extreme Fear
2/2/2019,22,Extreme Fear
1/2/2019,23,Extreme Fear
31-01-2019,17,Extreme Fear
30-01-2019,15,Extreme Fear
30-01-2019,22,Extreme Fear
29-01-2019,21,Extreme Fear
28-01-2019,35,Fear
27-01-2019,39,Fear
26-01-2019,41,Fear
25-01-2019,35,Fear
24-01-2019,37,Fear
23-01-2019,33,Fear
22-01-2019,27,Fear
21-01-2019,30,Fear
20-01-2019,35,Fear
19-01-2019,31,Fear
18-01-2019,29,Fear
17-01-2019,28,Fear
16-01-2019,24,Extreme Fear
15-01-2019,27,Fear
14-01-2019,16,Extreme Fear
13-01-2019,21,Extreme Fear
12/1/2019,22,Extreme Fear
11/1/2019,19,Extreme Fear
10/1/2019,37,Fear
9/1/2019,42,Fear
8/1/2019,39,Fear
7/1/2019,39,Fear
6/1/2019,31,Fear
5/1/2019,36,Fear
4/1/2019,48,Neutral
3/1/2019,33,Fear
2/1/2019,30,Fear
1/1/2019,24,Extreme Fear
31-12-2018,26,Fear
30-12-2018,23,Extreme Fear
29-12-2018,24,Extreme Fear
28-12-2018,21,Extreme Fear
27-12-2018,29,Fear
26-12-2018,26,Fear
25-12-2018,33,Fear
24-12-2018,25,Extreme Fear
23-12-2018,31,Fear
22-12-2018,28,Fear
21-12-2018,35,Fear
20-12-2018,27,Fear
19-12-2018,21,Extreme Fear
18-12-2018,23,Extreme Fear
17-12-2018,17,Extreme Fear
16-12-2018,13,Extreme Fear
15-12-2018,11,Extreme Fear
14-12-2018,10,Extreme Fear
13-12-2018,14,Extreme Fear
12/12/2018,14,Extreme Fear
11/12/2018,15,Extreme Fear
10/12/2018,19,Extreme Fear
9/12/2018,14,Extreme Fear
8/12/2018,11,Extreme Fear
7/12/2018,11,Extreme Fear
6/12/2018,13,Extreme Fear
5/12/2018,19,Extreme Fear
4/12/2018,12,Extreme Fear
3/12/2018,17,Extreme Fear
2/12/2018,15,Extreme Fear
1/12/2018,13,Extreme Fear
30-11-2018,19,Extreme Fear
29-11-2018,18,Extreme Fear
28-11-2018,14,Extreme Fear
27-11-2018,11,Extreme Fear
26-11-2018,17,Extreme Fear
25-11-2018,9,Extreme Fear
24-11-2018,15,Extreme Fear
23-11-2018,12,Extreme Fear
22-11-2018,14,Extreme Fear
21-11-2018,15,Extreme Fear
20-11-2018,21,Extreme Fear
19-11-2018,28,Fear
18-11-2018,26,Fear
17-11-2018,24,Extreme Fear
16-11-2018,23,Extreme Fear
15-11-2018,28,Fear
14-11-2018,49,Neutral
13-11-2018,56,Greed
12/11/2018,52,Neutral
11/11/2018,54,Neutral
10/11/2018,52,Neutral
9/11/2018,47,Neutral
8/11/2018,51,Neutral
7/11/2018,48,Neutral
6/11/2018,42,Fear
5/11/2018,42,Fear
4/11/2018,41,Fear
3/11/2018,36,Fear
2/11/2018,36,Fear
1/11/2018,29,Fear
31-10-2018,32,Fear
30-10-2018,31,Fear
29-10-2018,34,Fear
28-10-2018,35,Fear
27-10-2018,33,Fear
26-10-2018,29,Fear
25-10-2018,25,Extreme Fear
24-10-2018,23,Extreme Fear
23-10-2018,24,Extreme Fear
22-10-2018,27,Fear
21-10-2018,21,Extreme Fear
20-10-2018,21,Extreme Fear
19-10-2018,24,Extreme Fear
18-10-2018,26,Fear
17-10-2018,23,Extreme Fear
16-10-2018,24,Extreme Fear
15-10-2018,20,Extreme Fear
14-10-2018,18,Extreme Fear
13-10-2018,15,Extreme Fear
12/10/2018,13,Extreme Fear
11/10/2018,19,Extreme Fear
10/10/2018,28,Fear
9/10/2018,31,Fear
8/10/2018,26,Fear
7/10/2018,29,Fear
6/10/2018,34,Fear
5/10/2018,37,Fear
4/10/2018,29,Fear
3/10/2018,36,Fear
2/10/2018,33,Fear
1/10/2018,35,Fear
30-09-2018,34,Fear
29-09-2018,37,Fear
28-09-2018,42,Fear
27-09-2018,42,Fear
26-09-2018,37,Fear
25-09-2018,37,Fear
24-09-2018,43,Fear
23-09-2018,38,Fear
22-09-2018,35,Fear
21-09-2018,31,Fear
20-09-2018,24,Extreme Fear
19-09-2018,24,Extreme Fear
18-09-2018,21,Extreme Fear
17-09-2018,25,Extreme Fear
16-09-2018,28,Fear
15-09-2018,24,Extreme Fear
14-09-2018,23,Extreme Fear
13-09-2018,20,Extreme Fear
12/9/2018,14,Extreme Fear
11/9/2018,18,Extreme Fear
10/9/2018,15,Extreme Fear
9/9/2018,13,Extreme Fear
8/9/2018,18,Extreme Fear
7/9/2018,17,Extreme Fear
6/9/2018,14,Extreme Fear
5/9/2018,17,Extreme Fear
4/9/2018,26,Fear
3/9/2018,19,Extreme Fear
2/9/2018,18,Extreme Fear
1/9/2018,21,Extreme Fear
31-08-2018,17,Extreme Fear
30-08-2018,22,Extreme Fear
29-08-2018,19,Extreme Fear
28-08-2018,19,Extreme Fear
27-08-2018,18,Extreme Fear
26-08-2018,19,Extreme Fear
25-08-2018,22,Extreme Fear
24-08-2018,19,Extreme Fear
23-08-2018,18,Extreme Fear
22-08-2018,21,Extreme Fear
21-08-2018,19,Extreme Fear
20-08-2018,26,Fear
19-08-2018,27,Fear
18-08-2018,24,Extreme Fear
17-08-2018,19,Extreme Fear
16-08-2018,21,Extreme Fear
15-08-2018,18,Extreme Fear
14-08-2018,16,Extreme Fear
13-08-2018,21,Extreme Fear
12/8/2018,18,Extreme Fear
11/8/2018,18,Extreme Fear
10/8/2018,21,Extreme Fear
9/8/2018,19,Extreme Fear
8/8/2018,23,Extreme Fear
7/8/2018,25,Extreme Fear
6/8/2018,25,Extreme Fear
5/8/2018,23,Extreme Fear
4/8/2018,31,Fear
3/8/2018,36,Fear
2/8/2018,39,Fear
1/8/2018,39,Fear
31-07-2018,48,Neutral
30-07-2018,53,Neutral
29-07-2018,54,Neutral
28-07-2018,54,Neutral
27-07-2018,47,Neutral
26-07-2018,53,Neutral
25-07-2018,54,Neutral
24-07-2018,49,Neutral
23-07-2018,44,Fear
22-07-2018,46,Fear
21-07-2018,43,Fear
20-07-2018,47,Neutral
19-07-2018,44,Fear
18-07-2018,42,Fear
17-07-2018,39,Fear
16-07-2018,36,Fear
15-07-2018,32,Fear
14-07-2018,29,Fear
13-07-2018,29,Fear
12/7/2018,33,Fear
11/7/2018,29,Fear
10/7/2018,37,Fear
9/7/2018,39,Fear
8/7/2018,38,Fear
7/7/2018,34,Fear
6/7/2018,34,Fear
5/7/2018,37,Fear
4/7/2018,33,Fear
3/7/2018,31,Fear
2/7/2018,27,Fear
1/7/2018,27,Fear
30-06-2018,22,Extreme Fear
29-06-2018,16,Extreme Fear
28-06-2018,20,Extreme Fear
27-06-2018,18,Extreme Fear
26-06-2018,21,Extreme Fear
25-06-2018,16,Extreme Fear
24-06-2018,15,Extreme Fear
23-06-2018,17,Extreme Fear
22-06-2018,28,Fear
21-06-2018,37,Fear
20-06-2018,34,Fear
19-06-2018,32,Fear
18-06-2018,27,Fear
17-06-2018,23,Extreme Fear
16-06-2018,22,Extreme Fear
15-06-2018,26,Fear
14-06-2018,17,Extreme Fear
13-06-2018,19,Extreme Fear
12/6/2018,19,Extreme Fear
11/6/2018,15,Extreme Fear
10/6/2018,24,Extreme Fear
9/6/2018,39,Fear
8/6/2018,40,Fear
7/6/2018,38,Fear
6/6/2018,42,Fear
5/6/2018,26,Fear
4/6/2018,41,Fear
3/6/2018,40,Fear
2/6/2018,27,Fear
1/6/2018,24,Extreme Fear
31-05-2018,25,Extreme Fear
30-05-2018,38,Fear
29-05-2018,16,Extreme Fear
28-05-2018,22,Extreme Fear
27-05-2018,19,Extreme Fear
26-05-2018,23,Extreme Fear
25-05-2018,25,Extreme Fear
24-05-2018,27,Fear
23-05-2018,26,Fear
22-05-2018,30,Fear
21-05-2018,41,Fear
20-05-2018,32,Fear
19-05-2018,31,Fear
18-05-2018,37,Fear
17-05-2018,31,Fear
16-05-2018,32,Fear
15-05-2018,40,Fear
14-05-2018,40,Fear
13-05-2018,40,Fear
12/5/2018,44,Fear
11/5/2018,41,Fear
10/5/2018,63,Greed
9/5/2018,53,Neutral
8/5/2018,62,Greed
7/5/2018,56,Greed
6/5/2018,67,Greed
5/5/2018,63,Greed
4/5/2018,56,Greed
3/5/2018,55,Greed
2/5/2018,52,Neutral
1/5/2018,56,Greed
30-04-2018,59,Greed
29-04-2018,61,Greed
28-04-2018,54,Neutral
27-04-2018,55,Greed
26-04-2018,47,Neutral
25-04-2018,64,Greed
24-04-2018,29,Fear
23-04-2018,28,Fear
22-04-2018,31,Fear
21-04-2018,32,Fear
20-04-2018,26,Fear
19-04-2018,25,Extreme Fear
18-04-2018,24,Extreme Fear
17-04-2018,26,Fear
13-04-2018,23,Extreme Fear
12/4/2018,18,Extreme Fear
11/4/2018,20,Extreme Fear
10/4/2018,18,Extreme Fear
9/4/2018,21,Extreme Fear
8/4/2018,17,Extreme Fear
7/4/2018,20,Extreme Fear
6/4/2018,19,Extreme Fear
5/4/2018,17,Extreme Fear
4/4/2018,22,Extreme Fear
3/4/2018,22,Extreme Fear
2/4/2018,11,Extreme Fear
1/4/2018,16,Extreme Fear
31-03-2018,16,Extreme Fear
30-03-2018,12,Extreme Fear
29-03-2018,18,Extreme Fear
28-03-2018,24,Extreme Fear
27-03-2018,24,Extreme Fear
26-03-2018,31,Fear
25-03-2018,30,Fear
24-03-2018,32,Fear
23-03-2018,28,Fear
22-03-2018,36,Fear
21-03-2018,36,Fear
20-03-2018,37,Fear
19-03-2018,29,Fear
18-03-2018,29,Fear
17-03-2018,31,Fear
16-03-2018,33,Fear
15-03-2018,32,Fear
14-03-2018,40,Fear
13-03-2018,41,Fear
12/3/2018,41,Fear
11/3/2018,40,Fear
10/3/2018,39,Fear
9/3/2018,37,Fear
8/3/2018,39,Fear
7/3/2018,37,Fear
6/3/2018,59,Greed
5/3/2018,55,Greed
4/3/2018,44,Fear
3/3/2018,56,Greed
2/3/2018,47,Neutral
1/3/2018,38,Fear
28-02-2018,41,Fear
27-02-2018,44,Fear
26-02-2018,37,Fear
25-02-2018,33,Fear
24-02-2018,31,Fear
23-02-2018,39,Fear
22-02-2018,44,Fear
21-02-2018,54,Neutral
20-02-2018,74,Greed
19-02-2018,67,Greed
18-02-2018,63,Greed
17-02-2018,74,Greed
16-02-2018,67,Greed
15-02-2018,71,Greed
14-02-2018,55,Greed
13-02-2018,35,Fear
12/2/2018,42,Fear
11/2/2018,31,Fear
10/2/2018,54,Neutral
9/2/2018,44,Fear
8/2/2018,30,Fear
7/2/2018,36,Fear
6/2/2018,8,Extreme Fear
5/2/2018,11,Extreme Fear
4/2/2018,24,Fear
3/2/2018,40,Fear
2/2/2018,15,Extreme Fear
1/2/2018,30,Fear
